measure_number	beat	offset	duration	notes
16	2.0	61.0	1/3	('E2', 'E3', 'B3', 'C5')
16	7/3	184/3	1/3	('E2', 'E3', 'E4', 'C5')
16	8/3	185/3	1/3	('E2', 'E3', 'G4', 'C5')
16	3.0	62.0	1/3	('G2', 'G3', 'B3', 'C5')
16	10/3	187/3	1/3	('G2', 'G3', 'E4', 'C5')
16	11/3	188/3	1/3	('G2', 'G3', 'G4', 'C5')
16	4.0	63.0	1/3	('E2', 'E3', 'B3', 'A#4')
16	13/3	190/3	1/3	('E2', 'E3', 'E4', 'A#4')
16	14/3	191/3	1/3	('E2', 'E3', 'G4', 'A#4')
17	1.0	64.0	1/3	('B1', 'B2', 'B3', 'B4')
17	4/3	193/3	1/3	('B1', 'B2', 'D#4', 'B4')
17	5/3	194/3	1/3	('B1', 'B2', 'F#4', 'B4')
17	2.0	65.0	1/3	('B1', 'B2', 'B3', 'B4')
17	7/3	196/3	1/3	('B1', 'B2', 'D#4', 'B4')
17	8/3	197/3	1/3	('B1', 'B2', 'F#4', 'B4')
17	3.0	66.0	1/3	('B1', 'B2', 'B3', 'B4')
17	10/3	199/3	1/3	('B1', 'B2', 'D#4', 'B4')
17	11/3	200/3	1/3	('B1', 'B2', 'F#4', 'B4')
17	4.0	67.0	1/3	('B1', 'B2', 'B3', 'B4')
17	13/3	202/3	1/3	('B1', 'B2', 'D#4', 'B4')
17	14/3	203/3	1/3	('B1', 'B2', 'F#4', 'B4')
18	1.0	68.0	1/3	('B1', 'B2', 'B3', 'C5')
18	4/3	205/3	1/3	('B1', 'B2', 'E4', 'C5')
18	5/3	206/3	1/3	('B1', 'B2', 'G4', 'C5')
18	2.0	69.0	1/3	('E2', 'E3', 'B3', 'C5')
18	7/3	208/3	1/3	('E2', 'E3', 'E4', 'C5')
18	8/3	209/3	1/3	('E2', 'E3', 'G4', 'C5')
18	3.0	70.0	1/3	('G2', 'G3', 'B3', 'C5')
18	10/3	211/3	1/3	('G2', 'G3', 'E4', 'C5')
18	11/3	212/3	1/3	('G2', 'G3', 'G4', 'C5')
18	4.0	71.0	1/3	('E2', 'E3', 'B3', 'A#4')
18	13/3	214/3	1/3	('E2', 'E3', 'E4', 'A#4')
18	14/3	215/3	1/3	('E2', 'E3', 'G4', 'A#4')
19	1.0	72.0	1/3	('B1', 'B2', 'B3', 'B4')
19	4/3	217/3	1/3	('B1', 'B2', 'D#4', 'B4')
19	5/3	218/3	1/3	('B1', 'B2', 'F#4', 'B4')
19	2.0	73.0	1/3	('B1', 'B2', 'B3', 'B4')
19	7/3	220/3	1/3	('B1', 'B2', 'D#4', 'B4')
19	8/3	221/3	1/3	('B1', 'B2', 'F#4', 'B4')
19	3.0	74.0	1/3	('G#1', 'G#2', 'B3', 'B4')
19	10/3	223/3	1/3	('G#1', 'G#2', 'D4', 'B4')
19	11/3	224/3	1/3	('G#1', 'G#2', 'E#4', 'B4')
19	4.0	75.0	1/3	('G#1', 'G#2', 'B3', 'B4')
19	13/3	226/3	1/3	('G#1', 'G#2', 'D4', 'B4')
19	14/3	227/3	1/3	('G#1', 'G#2', 'E#4', 'B4')
20	1.0	76.0	1/3	('E#1', 'E#2', 'B3', 'B4')
20	4/3	229/3	1/3	('E#1', 'E#2', 'C#4', 'B4')
20	5/3	230/3	1/3	('E#1', 'E#2', 'G#4', 'B4')
20	2.0	77.0	1/3	('E#1', 'E#2', 'B3', 'B4')
20	7/3	232/3	1/3	('E#1', 'E#2', 'C#4', 'B4')
20	8/3	233/3	1/3	('E#1', 'E#2', 'G#4', 'B4')
20	3.0	78.0	1/3	('F#1', 'F#2', 'A3', 'A4')
20	10/3	235/3	1/3	('F#1', 'F#2', 'C#4', 'A4')
20	11/3	236/3	1/3	('F#1', 'F#2', 'F#4', 'A4')
20	4.0	79.0	1/3	('F#1', 'F#2', 'A3', 'A4')
20	13/3	238/3	1/3	('F#1', 'F#2', 'C#4', 'A4')
20	14/3	239/3	1/3	('F#1', 'F#2', 'F#4', 'A4')
